SKU,Code,mrp,wholesale_price,Mk UP,Promotion Type
15231,SRT0110136,300,149,2.013422819,15%
15232,SRT0110137,369,184,2.005434783,15%
15234,SRT0110139,382,190,2.010526316,15%
15235,SRT0110140,391,195,2.005128205,15%
15236,SRT0110141,782,390,2.005128205,15%
15511,MUM0130077,50,22,2.272727273,20%
15609,BLR0260027,87,27,3.222222222,B1G1
15617,BLR0260035,76,23,3.304347826,B1G1
15723,PUN0010010,28,10,2.8,B1G1
15724,PUN0010011,51,18,2.833333333,B1G1
15726,BLR0060275,366,121,3.024793388,B1G1
15727,BLR0060276,682,227,3.004405286,B1G1
15728,BLR0060277,358,119,3.008403361,B1G1
15729,BLR0060278,366,121,3.024793388,B1G1
15730,BLR0060279,682,227,3.004405286,B1G1
15731,BLR0060280,208,69,3.014492754,B1G1
15732,BLR0060281,156,51,3.058823529,B1G1
15733,BLR0060282,208,69,3.014492754,B1G1
15734,BLR0060283,210,70,3,B1G1
15735,BLR0060284,210,70,3,B1G1
15736,BLR0060285,210,70,3,B1G1
15737,BLR0060286,208,69,3.014492754,B1G1
15738,BLR0060287,208,69,3.014492754,B1G1
